river name,river,Status
Colorado River,http://dbpedia.org/resource/Colorado_River,True
Colorado River (Texas),http://dbpedia.org/resource/Colorado_River_(Texas),True
Rauma (river),http://dbpedia.org/resource/Rauma_(river),True
Songhua River,http://dbpedia.org/resource/Songhua_River,True
Tippecanoe River,http://dbpedia.org/resource/Tippecanoe_River,True
Tumen River,http://dbpedia.org/resource/Tumen_River,True
River Liffey,http://dbpedia.org/resource/River_Liffey,True
Brahmaputra River,http://dbpedia.org/resource/Brahmaputra_River,True
Lenne,http://dbpedia.org/resource/Lenne,True
Lippe (river),http://dbpedia.org/resource/Lippe_(river),True
Saale,http://dbpedia.org/resource/Saale,True
Saguenay River,http://dbpedia.org/resource/Saguenay_River,True
River Tweed,http://dbpedia.org/resource/River_Tweed,True
Lech (river),http://dbpedia.org/resource/Lech_(river),True
Iller,http://dbpedia.org/resource/Iller,True
Sieg,http://dbpedia.org/resource/Sieg,True
River Tees,http://dbpedia.org/resource/River_Tees,True
Bregenzer Ach,http://dbpedia.org/resource/Bregenzer_Ach,True
Inn (river),http://dbpedia.org/resource/Inn_(river),True
Salzach,http://dbpedia.org/resource/Salzach,True
Limmat,http://dbpedia.org/resource/Limmat,True
Linth,http://dbpedia.org/resource/Linth,True
Vaal River,http://dbpedia.org/resource/Vaal_River,True
Altamaha River,http://dbpedia.org/resource/Altamaha_River,True
Red River of the South,http://dbpedia.org/resource/Red_River_of_the_South,True
Tidal River (Victoria),http://dbpedia.org/resource/Tidal_River_(Victoria),True
Mulde,http://dbpedia.org/resource/Mulde,True
Zwickauer Mulde,http://dbpedia.org/resource/Zwickauer_Mulde,True
Fraser River,http://dbpedia.org/resource/Fraser_River,True
Rubicon,http://dbpedia.org/resource/Rubicon,True
Pecos River,http://dbpedia.org/resource/Pecos_River,True
Red River (Asia),http://dbpedia.org/resource/Red_River_(Asia),True
Salween River,http://dbpedia.org/resource/Salween_River,True
White Nile,http://dbpedia.org/resource/White_Nile,True
Garigliano,http://dbpedia.org/resource/Garigliano,True
Trigno,http://dbpedia.org/resource/Trigno,True
Sangro,http://dbpedia.org/resource/Sangro,True
Rapido (river),http://dbpedia.org/resource/Rapido_(river),True
Nelson River,http://dbpedia.org/resource/Nelson_River,True
Monongahela River,http://dbpedia.org/resource/Monongahela_River,True
River Kennet,http://dbpedia.org/resource/River_Kennet,True
River Usk,http://dbpedia.org/resource/River_Usk,True
Afgedamde Maas,http://dbpedia.org/resource/Afgedamde_Maas,True
North Sea Canal,http://dbpedia.org/resource/North_Sea_Canal,True
Rideau River,http://dbpedia.org/resource/Rideau_River,True
Muskegon River,http://dbpedia.org/resource/Muskegon_River,True
River Trent,http://dbpedia.org/resource/River_Trent,True
James River,http://dbpedia.org/resource/James_River,True
Vienne (river),http://dbpedia.org/resource/Vienne_(river),True
Brazos River,http://dbpedia.org/resource/Brazos_River,True
Neman,http://dbpedia.org/resource/Neman,True
Eider (river),http://dbpedia.org/resource/Eider_(river),True
Duwamish River,http://dbpedia.org/resource/Duwamish_River,True
Brigach,http://dbpedia.org/resource/Brigach,True
Erft,http://dbpedia.org/resource/Erft,True
Susquehanna River,http://dbpedia.org/resource/Susquehanna_River,True
Raritan River,http://dbpedia.org/resource/Raritan_River,True
Belice,http://dbpedia.org/resource/Belice,True
Yarra River,http://dbpedia.org/resource/Yarra_River,True
Lek (river),http://dbpedia.org/resource/Lek_(river),True
Savannah River,http://dbpedia.org/resource/Savannah_River,True
River Boyne,http://dbpedia.org/resource/River_Boyne,True
Regen (river),http://dbpedia.org/resource/Regen_(river),True
Ashuapmushuan River,http://dbpedia.org/resource/Ashuapmushuan_River,True
River Medway,http://dbpedia.org/resource/River_Medway,True
River Ness,http://dbpedia.org/resource/River_Ness,True
Mojave River,http://dbpedia.org/resource/Mojave_River,True
Hutt River (New Zealand),http://dbpedia.org/resource/Hutt_River_(New_Zealand),True
Saskatchewan River,http://dbpedia.org/resource/Saskatchewan_River,True
Isar,http://dbpedia.org/resource/Isar,True
Athabasca River,http://dbpedia.org/resource/Athabasca_River,True
River Wye,http://dbpedia.org/resource/River_Wye,True
Ural (river),http://dbpedia.org/resource/Ural_(river),True
Mackenzie River,http://dbpedia.org/resource/Mackenzie_River,True
Waikato River,http://dbpedia.org/resource/Waikato_River,True
Connecticut River,http://dbpedia.org/resource/Connecticut_River,True
Georges River,http://dbpedia.org/resource/Georges_River,True
Minnesota River,http://dbpedia.org/resource/Minnesota_River,True
River Huntspill,http://dbpedia.org/resource/River_Huntspill,True
Lielupe,http://dbpedia.org/resource/Lielupe,True
Pasig River,http://dbpedia.org/resource/Pasig_River,True
Ubangi River,http://dbpedia.org/resource/Ubangi_River,True
Zeta (river),http://dbpedia.org/resource/Zeta_(river),True
Snoqualmie River,http://dbpedia.org/resource/Snoqualmie_River,True
Regnitz,http://dbpedia.org/resource/Regnitz,True
Santiam River,http://dbpedia.org/resource/Santiam_River,True
Jiu (river),http://dbpedia.org/resource/Jiu_(river),True
Wisconsin River,http://dbpedia.org/resource/Wisconsin_River,True
Arkansas River,http://dbpedia.org/resource/Arkansas_River,True
Platte River,http://dbpedia.org/resource/Platte_River,True
River Churnet,http://dbpedia.org/resource/River_Churnet,True
River Tamar,http://dbpedia.org/resource/River_Tamar,True
Chattahoochee River,http://dbpedia.org/resource/Chattahoochee_River,True
Peene,http://dbpedia.org/resource/Peene,True
Richelieu River,http://dbpedia.org/resource/Richelieu_River,True
River Dart,http://dbpedia.org/resource/River_Dart,True
Fulda (river),http://dbpedia.org/resource/Fulda_(river),True
Cuyahoga River,http://dbpedia.org/resource/Cuyahoga_River,True
Harlem River,http://dbpedia.org/resource/Harlem_River,True
Odense River,http://dbpedia.org/resource/Odense_River,True
River Brede,http://dbpedia.org/resource/River_Brede,True
"River Rother, East Sussex","http://dbpedia.org/resource/River_Rother,_East_Sussex",True
Mohawk River,http://dbpedia.org/resource/Mohawk_River,True
Hollandse IJssel,http://dbpedia.org/resource/Hollandse_IJssel,True
River Effra,http://dbpedia.org/resource/River_Effra,True
River Monnow,http://dbpedia.org/resource/River_Monnow,True
Buffalo National River,http://dbpedia.org/resource/Buffalo_National_River,True
Taz (river),http://dbpedia.org/resource/Taz_(river),True
San Joaquin River,http://dbpedia.org/resource/San_Joaquin_River,True
River Sheaf,http://dbpedia.org/resource/River_Sheaf,True
River Tone,http://dbpedia.org/resource/River_Tone,True
"River Stour, Warwickshire","http://dbpedia.org/resource/River_Stour,_Warwickshire",True
River Arun,http://dbpedia.org/resource/River_Arun,True
River Adur,http://dbpedia.org/resource/River_Adur,True
Tennessee River,http://dbpedia.org/resource/Tennessee_River,True
River Piddle,http://dbpedia.org/resource/River_Piddle,True
Patuxent River,http://dbpedia.org/resource/Patuxent_River,True
